date,CPOM,bod,nutrient,temp,dDO,DOpre,DOpost,DO.T0,incubation.h,SOD,tot.OM,leaf.OM,sed.OM,days.elap,sod.OM
2014-07-01,no,2,yes,23.6,0.00825987740976432,0.257349817509925,0.201300299083951,0.242599686132772,3.71666666666667,0.793710193122772,3.2492,0,3.2492,21,16.4155253532717
2014-07-01,no,11,yes,23.6,0.015495063527241,0.255809858936067,0.164223492730861,0.241698810367066,3.93333333333333,1.40693676094803,3.2492,0,3.2492,21,29.0982858351926
2014-07-01,no,10,yes,23.6,0.0131804955116051,0.255847768779996,0.175818510067739,0.241720987625764,3.58333333333333,1.31367064899719,3.2492,0,3.2492,21,27.1693547989077
2014-07-01,no,15,yes,23.6,0.00843987174942638,0.254003136311707,0.198442518884683,0.240641877631815,3.55,0.849081664932231,3.2492,0,3.2492,21,17.5607189103305
2014-07-01,yes,12,no,23.6,0.0091957750386067,0.242707183384274,0.188054869976233,0.234033745169266,4.35,0.7549897404439,3.32425,0.0750499999999998,3.2492,21,15.2621826149748
2014-07-01,yes,5,no,23.6,0.0111970951831837,0.264718547903631,0.190924917497172,0.24691039341309,4.26666666666667,0.937256851270953,3.32425,0.0750499999999998,3.2492,21,18.9467279553007
2014-07-01,yes,13,no,23.6,0.0110281211611891,0.21656427134651,0.163599535821229,0.218740141627175,4.45,0.885081955151615,3.32425,0.0750499999999998,3.2492,21,17.8920079374862
2014-07-01,yes,3,no,23.6,0.0075185873636719,0.238671422354586,0.19407988814854,0.231672824966899,4.41666666666667,0.607972024016595,3.32425,0.0750499999999998,3.2492,21,12.2902068177529
2014-07-01,yes,7,yes,23.6,0.0113758999406138,0.261188458123213,0.187965791188477,0.244845290891546,4,1.01570535184052,3.32425,0.0750499999999998,3.2492,21,20.5325711494872
2014-07-01,yes,4,yes,23.6,0.00967334092821811,0.22697040947487,0.176461027791175,0.224827732432265,3.66666666666667,0.942208531969296,3.32425,0.0750499999999998,3.2492,21,19.0468266070051
2014-07-01,yes,14,yes,23.6,0.00742772679265281,0.230445868499143,0.189722241998201,0.226860875961465,3.93333333333333,0.67443039884862,3.32425,0.0750499999999998,3.2492,21,13.6336685876897
2014-07-01,yes,16,yes,23.6,0.010728095872265,0.23799376863091,0.177635918177224,0.231276397538549,3.83333333333333,0.999512037788662,3.32425,0.0750499999999998,3.2492,21,20.2052219115284
